BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202408,26,1120,202408,26,1120,194040,1199236,MASSACHUSETTS,25,2024,August,Lightning,C,1,BARNSTABLE,BOX,26-AUG-24 11:20:00,EST-5,26-AUG-24 11:20:00,0,0,0,0,5.00K,0.00K,Trained Spotter,,,,,,,,,,,,1.0,NE,HARWICH,1.0,NE,HARWICH,41.69,-70.07,41.69,-70.07,"A cold pool aloft and surface front caused a round of strong to severe storms over all of southern New England. Hail from 1 to 2 inches fell in MA, RI, and CT while localized flash flooding was observed in southern RI and MA.","In Harwich, lightning caused a structure fire on Seaport Lane.",CSV
202408,29,2100,202408,29,2101,195902,1212761,GEORGIA,13,2024,August,Lightning,C,15,BARTOW,FFC,29-AUG-24 21:00:00,EST-5,29-AUG-24 21:01:00,0,0,0,0,5.00K,,Public,,,,,,,,,,,,1.0,E,LADDS,1.0,E,LADDS,34.15,-84.82,34.15,-84.82,"A few isolated diurnally driven thunderstorms developed the afternoon of the 29th. Some 1 to 1.25 inch hail was reported in the northern ATL metro, otherwise impacts were localized wind damage.",Lightning strike caused fire at church near intersection of old mill rd near etowah village apartments.,CSV
202405,28,1215,202405,28,1215,190452,1170634,TEXAS,48,2024,May,Lightning,C,339,MONTGOMERY,HGX,28-MAY-24 12:15:00,CST-6,28-MAY-24 12:15:00,1,0,0,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,1.0,SE,SHENANDOAH,1.0,SE,SHENANDOAH,30.16,-95.44,30.16,-95.44,Another round of severe thunderstorms moved across the area resulting in numerous reports of wind damage.,One person was struck by lightning.,CSV
202403,16,1030,202403,16,1030,190350,1170035,TEXAS,48,2024,March,Lightning,C,497,WISE,FWD,16-MAR-24 10:30:00,CST-6,16-MAR-24 10:30:00,1,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,5.0,S,ALVORD,5.0,S,ALVORD,33.3023,-97.6873,33.3023,-97.6873,A motocross rider was struck by lightning during a race in Wise County.,A 19-year-old male motocross rider was struck by lightning while racing at Oak Hill Raceway in Alvord. He survived with injuries.,CSV
202408,27,2112,202408,27,2113,194742,1204224,INDIANA,18,2024,August,Lightning,C,141,ST. JOSEPH,IWX,27-AUG-24 21:12:00,EST-5,27-AUG-24 21:13:00,0,0,0,0,225.00K,0.00K,Broadcast Media,,,,,,,,,,,,3.0,S,MISHAWAKA,3.0,S,MISHAWAKA,41.63,-86.17,41.63,-86.17,"A small cluster of thunderstorms raced across southern Lake Michigan and came onshore, causing extensive tree damage from Michigan City northeast to Union Pier MI and then weakened with inland extent.",Lightning strike at Autumn Lakes Apartments resulting in a large fire. 22 apartment units were damaged. No known injuries.,CSV
202402,10,534,202402,10,534,189031,1162558,INDIANA,18,2024,February,Lightning,C,43,FLOYD,LMK,10-FEB-24 05:34:00,EST-5,10-FEB-24 05:34:00,0,0,0,0,100.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,0.0,N,FLOYDS KNOBS,0.0,N,FLOYDS KNOBS,38.32,-85.87,38.32,-85.87,"A line of showers and thunderstorms developed in the early morning hours of February 10, 2024, ahead of a cold front in an environment that had very strong shear but little instability. The storms, mainly in southern Indiana and portions of north-central Kentucky, ended up morphing into a convective line that produced both wind damage and a couple of isolated tornadoes before weakening and pushing east of the region by sunrise. A total of two small, short-lived EF-1 tornadoes developed with the line, one in southern Indiana and one is central Kentucky.","Lightning started a structure fire, rupturing a gas line which also ignited. Cost to repair damages are unknown.",CSV
202402,22,1750,202402,22,1750,187813,1153443,MARYLAND,24,2024,February,Lightning,C,31,MONTGOMERY,LWX,22-FEB-24 17:50:00,EST-5,22-FEB-24 17:50:00,0,0,0,0,50.00K,,Emergency Manager,,,,,,,,,,,,1.0,WNW,BRIGHTON,1.0,WNW,BRIGHTON,39.2087,-77.0476,39.2087,-77.0476,Elevated thunderstorms produced many positive cloud-to-ground lightning strikes. One lightning strike caused significant damage in Montgomery County.,A lightning strike caused an electrical surge and significant damage in the basement of a house in the 21600 block of Gentry Lane.,CSV
202404,16,250,202404,16,250,190307,1171170,IOWA,19,2024,April,Lightning,C,125,MARION,DMX,16-APR-24 02:50:00,CST-6,16-APR-24 02:50:00,0,0,0,0,10.00K,0.00K,Broadcast Media,,,,,,,,,,,,2.0,SE,PELLA,2.0,SE,PELLA,41.3979,-92.9047,41.3979,-92.9047,"A strong low pressure brought multiple rounds of strong to severe thunderstorms to portions of central Iowa on Tuesday, April 16th, 2024. Elevated thunderstorms developed overnight and lingered into the morning across the area, remaining sub severe. This was followed by a second line of storms that lifted into the area by late morning. This line produced a few tornadoes in southwest to central Iowa. This was then followed by a third round of thunderstorms, more discrete in storm mode, that produced a few more tornadoes in northwest portions of Iowa. At least 8 short-lived tornadoes touched down, some causing damage in portions of central Iowa from late morning through the afternoon. A few of the severe thunderstorms also produced hail of 1 to 2 inches in diameter and wind gusts of 50-60 mph. Environmental winds behind the dry line were quite strong as well, occasionally gusting in excess of 50-55 mph.",A small fire was started at a hotel in Pella after sustaining a lightning strike in the very early morning hours of April 16th.,CSV
202405,29,1450,202405,29,1451,192192,1185000,WASHINGTON,53,2024,May,Lightning,C,19,FERRY,OTX,29-MAY-24 14:50:00,PST-8,29-MAY-24 14:51:00,0,0,0,0,1.00K,0.00K,Public,,,,,,,,,,,,3.0,S,REPUBLIC,3.0,S,REPUBLIC,48.6,-118.74,48.6,-118.74,"On May 29, a cold front moved the region bringing weak isolated thunderstorms. They caused minor damage from winds. A structure fire was caused by lightning.",Observer reported out building structure fire caused by lightning strike.,CSV
202401,8,2015,202401,8,2015,188266,1158237,ALABAMA,1,2024,January,Lightning,C,129,WASHINGTON,MOB,08-JAN-24 20:15:00,CST-6,08-JAN-24 20:15:00,0,0,0,0,10.00K,0.00K,Emergency Manager,,,,,,,,,,,,0.0,N,FRANKVILLE,0.0,N,FRANKVILLE,31.65,-88.15,31.65,-88.15,Multiple rounds of severe thunderstorms moved across southwest Alabama starting during the late evening hours of January 8th and continued through early morning hours of the 9th. This system produced four EF-0's and two EF-1's in Alabama.,Lightning struck a house in Frankville and resulted in a house fire.,CSV
202405,27,0,202405,27,5,192034,1183316,TENNESSEE,47,2024,May,Lightning,C,157,SHELBY,MEG,27-MAY-24 00:00:00,CST-6,27-MAY-24 00:05:00,0,0,0,0,200.00K,0.00K,Broadcast Media,,,,,,,,,,,,2.0,SSE,SHELBY CENTER,2.0,SSE,SHELBY CENTER,35.15,-89.84,35.15,-89.84,A line of storms from the previous day continued to roll through West Tennessee. There were a few reports of damaging wind before the line diminished.,A home on Show Boat Lane near Whitten Road was struck by lightning. This lightning strike resulted in a fire and destroyed the structure.,CSV
202405,23,901,202405,23,901,190661,1180996,NEW YORK,36,2024,May,Lightning,C,61,NEW YORK,OKX,23-MAY-24 09:01:00,EST-5,23-MAY-24 09:01:00,1,0,0,0,,0.00K,Local Official,,,,,,,,,,,,2.0,SSW,NEW YORK,2.0,SSW,NEW YORK,40.7055,-74.0069,40.7055,-74.0069,"Isolated thunderstorms formed along and head of an approaching pre-frontal trough and cold front in the early morning hours, some were severe and produced damaging winds and large hail. Behind these storms, an MCV moved through and produced more damaging winds and large hail.",One person injured when a building on Pine Street near Water Street in Lower Manhattan was struck by lightning.,CSV
202405,6,1930,202405,6,1931,192228,1185440,GEORGIA,13,2024,May,Lightning,C,103,EFFINGHAM,CHS,06-MAY-24 19:30:00,EST-5,06-MAY-24 19:31:00,1,0,0,0,,0.00K,Fire Department/Rescue,,,,,,,,,,,,2.0,NNW,PINEORA,2.0,NNW,PINEORA,32.34,-81.43,32.34,-81.43,"A cluster of thunderstorms moved across portions of southeast Georgia during the evening hours, producing cloud to ground lightning strikes.",Effingham County Fire Department reported a lightning strike at a home on Taylor Drive near Guyton. The lightning strike resulted in one injury and also caused a small fire in the attic.,CSV
202405,10,305,202405,10,305,191567,1186952,FLORIDA,12,2024,May,Lightning,C,113,SANTA ROSA,MOB,10-MAY-24 03:05:00,CST-6,10-MAY-24 03:05:00,1,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,2.0,ENE,BROXSON,2.0,ENE,BROXSON,30.39,-87.06,30.39,-87.06,"Two storm complexes moved across southeastern Mississippi, southwestern Alabama, and into the Florida Panhandle during the early morning hours of 5/10 producing destructive straight-line winds and multiple tornadoes.",One person injured due to a lightning strike.,CSV
202405,3,1400,202405,3,1400,189636,1209186,TEXAS,48,2024,May,Lightning,C,339,MONTGOMERY,HGX,03-MAY-24 14:00:00,CST-6,03-MAY-24 14:00:00,0,0,1,0,,,Newspaper,,,,,,,,,,,,3.0,SSE,GRANGERLAND,3.0,SSE,GRANGERLAND,30.2188,-95.3081,30.2188,-95.3081,A series of disturbances moved across the area and produced flash flooding and severe thunderstorms.,Man was electrocuted while attempting to place a tarp over vehicles during a storm.,CSV
202406,23,1837,202406,23,1838,193801,1220353,NEW JERSEY,34,2024,June,Lightning,C,29,OCEAN,PHI,23-JUN-24 18:37:00,EST-5,23-JUN-24 18:38:00,0,0,1,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,0.0,E,SEASIDE HGTS,0.0,E,SEASIDE HGTS,39.93,-74.0735,39.93,-74.0735,"A shortwave and pre-frontal trough moved into a very hot, humid, and unstable airmass, which sparked off several severe thunderstorms, mainly producing damaging wind gusts.",A man was struck and killed by lightning as he was returning to the beach to warn others about the impending thunderstorm.,CSV
202405,26,1253,202405,26,1253,191804,1182206,KENTUCKY,21,2024,May,Lightning,C,125,LAUREL,JKL,26-MAY-24 12:53:00,EST-5,26-MAY-24 12:53:00,0,0,0,0,200.00K,0.00K,Public,,,,,,,,,,,,0.0,W,LONDON,0.0,W,LONDON,37.1308,-84.0861,37.1308,-84.0861,"On the morning of May 26, a stationary front had set up along the Ohio River just north of the state. During the course of the day, this front slowly lifted northward as a warm front, as a low pressure system began to develop and take shape just west of the state. This added forcing, combined with Kentucky's location in a warm/moist airmass, was enough to spark widespread showers and thunderstorms. WPC noted an outflow boundary on several surface analysis, the presence of which contributed to more shower and thunderstorm development. Most of the storms took place during the afternoon hours on the 26th, however, some storms and damage occurred as early as 3am EDT and as late as 2 and 3am EDT the following night. Amongst the many reports of thunderstorm wind damage, there was also a quick and small rotation that developed in the community of Corbin, which led to a EF-1 tornado, affecting a car dealership and several other businesses/homes.",Video showed lightning striking a business in downtown London and starting a fire. The structure was reported a total loss.,CSV
202406,29,530,202406,29,530,191455,1179032,MISSOURI,29,2024,June,Lightning,C,29,CAMDEN,SGF,29-JUN-24 05:30:00,CST-6,29-JUN-24 05:30:00,0,0,0,0,40.00K,0.00K,Broadcast Media,,,,,,,,,,,,3.0,N,LINN CREEK,3.0,N,LINN CREEK,38.074,-92.7206,38.074,-92.7206,Severe thunderstorms with lightning and damaging winds moved across central Missouri on June 29th.,An apparent lightning strike hit a newly constructed home north of Linn Creek.,CSV
202405,23,1440,202405,23,1440,191779,1181170,VIRGINIA,51,2024,May,Lightning,C,690,MARTINSVILLE (C),RNK,23-MAY-24 14:40:00,EST-5,23-MAY-24 14:40:00,0,0,0,0,0.50K,0.00K,911 Call Center,,,,,,,,,,,,0.0,SSE,MARTINSVILLE,0.0,SSE,MARTINSVILLE,36.6734,-79.8679,36.6734,-79.8679,"Weak forcing over the area was overcome by strong surface heating and modest surface moisture. Instability over Virginia was modest as well, but was enough for a few isolated afternoon thunderstorms, which ultimately produced areas of wind damage. In addition, a lightning strike damaged a power transformer, which led to power outages in the area of Martinsville.","Lightning struck a tree on Highland Street, and the tree was knocked down.",CSV
202403,15,415,202403,15,415,189253,1175253,MISSISSIPPI,28,2024,March,Lightning,C,87,LOWNDES,JAN,15-MAR-24 04:15:00,CST-6,15-MAR-24 04:15:00,0,0,0,0,20.00K,0.00K,Emergency Manager,,,,,,,,,,,,0.0,N,COLLEGE,0.0,N,COLLEGE,33.5,-88.42,33.5,-88.42,A cold front moved through the region and caused a line of storms to push across the area and bring some isolated severe storms.,Lightning struck a home and caused a fire which resulted in some damage.,CSV
202407,27,1743,202407,27,1743,193321,1194242,FLORIDA,12,2024,July,Lightning,C,31,DUVAL,JAX,27-JUL-24 17:43:00,EST-5,27-JUL-24 17:43:00,0,0,0,0,2.00K,0.00K,Emergency Manager,,,,,,,,,,,,2.0,SSW,GREENFIELD,2.0,SSW,GREENFIELD,30.32,-81.46,30.32,-81.46,"The late afternoon sea breeze and boundary mergers focused across the St. Johns River basin across downtown Jacksonville. Slow moving storms within a saturated airmass (precipitable water 2.18) produced locally heavy, flooding rainfall.","Lightning struck a natural gas line which |            caused a fire at 13319 Santorini Drive. The |            gas line was secured, and the fire |            extinguished as of 7:08 pm. There were no |            injuries. The time of the strike was based |            on lightning and radar data. The cost of damage was unknown but estimated for inclusion of the event in Storm Data.",CSV
202405,26,2352,202405,26,2353,191923,1182417,TENNESSEE,47,2024,May,Lightning,C,157,SHELBY,MEG,26-MAY-24 23:52:00,CST-6,26-MAY-24 23:53:00,0,0,0,0,2.00K,0.00K,Broadcast Media,,,,,,,,,,,,1.0,ENE,(NQA)NAS MEMPHIS MIL,1.0,ENE,(NQA)NAS MEMPHIS MIL,35.2886,-89.9087,35.2886,-89.9087,"A shortwave trough pushed into the Mid-South during the early morning hours. A very moist and unstable air mass provided plenty of fuel for the trough to initiate convection. The atmosphere harnessed steep mid-level lapse rates, plentiful instability, around 50 kts of effective shear. and decent helicity. This type of atmosphere supported all weather hazards. Recent heavy rainfall events also heightened a flood threat. The severe threat continued into the next day as a line of storms rolled through just after midnight into the next day.",Lightning struck a home resulting in a house fire on Tumblebrook Cove.,CSV
202405,4,1715,202405,4,1715,189723,1171041,CALIFORNIA,6,2024,May,Lightning,C,61,PLACER,STO,04-MAY-24 17:15:00,PST-8,04-MAY-24 17:15:00,0,0,0,0,90.00K,0.00K,Law Enforcement,,,,,,,,,,,,1.0,S,NEWCASTLE,1.0,S,NEWCASTLE,38.8597,-121.1306,38.8597,-121.1306,"A late season storm brings heavy snow to the Sierra with widespread rain and scattered thunderstorms in the Valley. Periods of heavy snow saw major roadways such as I-80, SR-20, and US-50 close with chain controls also observed. There was a lightning strike fire which destroyed a mobile home in Newcastle.",A lightning strike resulted in a mobile home fire around 6:15 pm PDT on Nob Hill Drive in the Castle City Mobile Home Park. The mobile home was destroyed. There were no injuries.,CSV
202404,27,1628,202404,27,1728,189445,1165084,KANSAS,20,2024,April,Lightning,C,109,LOGAN,GLD,27-APR-24 16:28:00,CST-6,27-APR-24 17:28:00,0,0,0,0,5.00K,0.00K,Emergency Manager,,,,,,,,,,,,1.0,NW,ELKADER,1.0,NW,ELKADER,38.7868,-100.876,38.7868,-100.876,"During the afternoon hours, scattered storms developed over Northwest Kansas and moved north-northeast. These storms produced mainly hail that ranged in size from pea to hen egg sized, with the largest occurring near Grinnell in northern Gove County. Most gusts associated with these storms were sub-severe; however, there was an isolated 61 mph gust near Norton, Kansas. A lightning strike started an oil tank battery on fire in southern Logan County.",A lightning strike started an oil tank battery on fire in southern Logan County. The fire burned for about an hour before being extinguished.,CSV
202405,14,822,202405,14,823,192245,1185594,GEORGIA,13,2024,May,Lightning,C,51,CHATHAM,CHS,14-MAY-24 08:22:00,EST-5,14-MAY-24 08:23:00,0,0,0,0,10.00K,0.00K,Emergency Manager,,,,,,,,,,,,3.0,WNW,FT SCREVEN,3.0,WNW,FT SCREVEN,32.02,-80.97,32.02,-80.97,A large cluster of thunderstorms developed near an inland advancing warm front in the morning hours along the southeast Georgia coast. These thunderstorms produced a few damaging wind gusts.,Chatham County Emergency Management Agency reported lightning struck a shed on Sandnettles Drive and caused a fire.,CSV
202405,15,1400,202405,15,1800,192528,1188075,CALIFORNIA,6,2024,May,Lightning,C,71,SAN BERNARDINO,SGX,15-MAY-24 14:00:00,PST-8,15-MAY-24 18:00:00,0,0,0,0,10.00K,0.00K,Mesonet,,,,,,,,,,,,6.0,SSE,SUGARLOAF,3.0,NNE,ADELANTO EL MIRGE APT,34.1717,-116.7703,34.6619,-117.586,Thunderstorms occurred across the San Bernadino mountains and High Deset on May 15.,Earth Networks detected several dozen lightning strikes across the High Desert west of Victorville and across the San Bernardino mountains including Big Bear city and affect SR 38 and 18.,CSV
